Year,country,co2,co2_per_capita,population,gdp,cement_co2,coal_co2,oil_co2
1880,World,853.916,0.603,1.415841209E9,0.0,0.0,838.524,15.392
1881,World,883.544,0.621,1.423704727E9,0.0,0.0,866.278,17.266
1882,World,933.36,0.651,1.433553127E9,0.0,0.0,914.231,18.964
1883,World,992.754,0.687,1.444009167E9,0.0,0.0,975.842,16.53
1884,World,1004.134,0.69,1.454595037E9,0.0,0.0,984.619,18.342
1885,World,1011.637,0.69,1.465369425E9,0.0,0.0,988.945,18.976
1886,World,1027.417,0.696,1.476245076E9,0.0,0.0,997.9,21.841
1887,World,1078.747,0.725,1.487277339E9,0.0,0.001,1043.464,23.495
1888,World,1194.353,0.797,1.498437207E9,0.0,0.001,1152.984,24.594
1889,World,1194.624,0.791,1.509373834E9,0.0,0.001,1153.973,28.424
1890,World,1300.362,0.855,1.521669265E9,0.0,0.001,1254.006,34.667
1891,World,1361.75,0.89,1.530611585E9,0.0,0.001,1311.956,40.846
1892,World,1372.396,0.891,1.540822549E9,0.0,0.001,1324.399,40.222
1893,World,1355.477,0.874,1.550822689E9,0.0,0.001,1305.624,42.565
1894,World,1403.019,0.899,1.560960959E9,0.0,0.001,1354.596,41.724
1895,World,1487.432,0.947,1.571250732E9,0.0,0.001,1431.833,48.557
1896,World,1536.366,0.971,1.581628826E9,0.0,0.001,1476.926,52.591
1897,World,1609.232,1.011,1.592152786E9,0.0,0.001,1546.389,55.554
1898,World,1697.166,1.059,1.60280187E9,0.0,0.001,1631.507,57.198
1899,World,1853.709,1.148,1.614109121E9,0.0,0.001,1782.736,60.068
1900,World,1952.209,1.199,1.627883132E9,3.40575911936E12,0.001,1873.319,67.347
1901,World,2016.744,1.231,1.638647517E9,0.0,0.002,1929.101,74.781
1902,World,2067.684,1.252,1.651840077E9,0.0,0.002,1973.146,80.84
1903,World,2254.1,1.353,1.66570354E9,0.0,0.003,2153.965,85.605
1904,World,2279.747,1.357,1.679752718E9,0.0,0.003,2166.616,96.13
1905,World,2427.318,1.433,1.693984163E9,0.0,0.004,2311.083,97.082
1906,World,2534.733,1.484,1.708411294E9,0.0,0.004,2415.614,97.96
1907,World,2888.318,1.676,1.723032738E9,0.0,0.005,2746.872,119.51
1908,World,2776.441,1.598,1.737874788E9,0.0,0.115,2625.935,128.881
1909,World,2890.495,1.65,1.752122665E9,0.0,0.116,2730.045,134.464
1910,World,3034.09,1.716,1.767847653E9,0.0,0.135,2862.503,144.189
1911,World,3079.502,1.731,1.778784032E9,0.0,0.148,2898.434,152.928
1912,World,3235.964,1.807,1.791197929E9,0.0,0.177,3047.815,157.309
1913,World,3506.276,1.945,1.803056235E9,0.0,0.203,3291.915,182.14
1914,World,3180.355,1.752,1.815104863E9,0.0,0.147,2961.656,186.143
1915,World,3134.854,1.716,1.827290389E9,0.0,0.16,2902.744,197.664
1916,World,3385.858,1.841,1.839559287E9,0.0,0.181,3129.284,215.302
1917,World,3540.427,1.912,1.851899055E9,0.0,0.148,3257.807,239.469
1918,World,3493.264,1.873,1.864869126E9,0.0,0.12,3209.438,245.061
1919,World,3029.007,1.612,1.878650358E9,0.0,0.125,2715.307,273.426
1920,World,3521.427,1.858,1.89568215E9,4.318420533248E12,0.149,3125.913,351.333
1921,World,3090.097,1.619,1.908748639E9,0.0,0.13,2668.378,384.909
1922,World,3240.314,1.683,1.92482612E9,0.0,0.193,2770.647,426.946
1923,World,3676.233,1.893,1.9416369E9,0.0,0.208,3146.399,474.386
1924,World,3687.22,1.882,1.958716901E9,0.0,0.216,3152.611,471.969
1925,World,3727.034,1.886,1.976068839E9,0.0,14.429,3151.386,494.216
1926,World,3661.03,1.836,1.993719848E9,0.0,14.74,3081.691,492.446
1927,World,3996.129,1.986,2.011689749E9,0.0,15.448,3361.453,540.275
1928,World,3978.763,1.96,2.029682397E9,0.0,35.583,3305.244,552.377
1929,World,4270.908,2.085,2.048513689E9,0.0,36.873,3522.153,606.125
1930,World,3938.598,1.902,2.070596353E9,0.0,35.561,3213.992,582.546
1931,World,3519.903,1.685,2.088429965E9,0.0,30.894,2830.445,563.841
1932,World,3173.476,1.504,2.109357892E9,0.0,24.694,2519.801,539.439
1933,World,3341.518,1.568,2.131029147E9,0.0,23.839,2635.444,589.772
1934,World,3634.242,1.688,2.152969392E9,0.0,28.514,2877.993,624.161
1935,World,3814.798,1.754,2.175184808E9,0.0,32.058,2996.571,672.805
1936,World,4185.514,1.904,2.197830032E9,0.0,38.736,3284.79,733.947
1937,World,4474.233,2.015,2.220878589E9,0.0,40.804,3463.357,826.766
1938,World,4206.901,1.875,2.244005191E9,0.0,38.521,3227.656,803.013
1939,World,4451.247,1.964,2.266483407E9,0.0,35.659,3434.928,836.453
1940,World,4861.346,2.122,2.290871362E9,6.99259682816E12,31.431,3793.772,879.364
1941,World,4970.814,2.154,2.307736768E9,0.0,43.293,3884.03,885.994
1942,World,4959.586,2.132,2.326734579E9,0.0,38.376,3909.701,841.426
1943,World,5041.694,2.15,2.34458144E9,0.0,34.769,3925.256,894.442
1944,World,5117.909,2.166,2.362439908E9,0.0,22.664,3868.037,1025.279
1945,World,4257.136,1.789,2.380167769E9,0.0,22.986,2998.036,1015.403
1946,World,4646.124,1.938,2.397811266E9,0.0,36.306,3234.05,1147.915
1947,World,5145.782,2.129,2.416694412E9,0.0,43.141,3621.183,1228.953
1948,World,5424.953,2.226,2.437259361E9,0.0,51.635,3739.086,1349.199
1949,World,5181.006,2.103,2.463242071E9,0.0,58.189,3545.799,1272.314
1950,World,5929.342,2.372,2.499322112E9,8.408477466624E12,66.9,3855.337,1575.249
1951,World,6381.406,2.509,2.543130368E9,0.0,75.766,4059.089,1744.893
1952,World,6467.437,2.497,2.590270976E9,0.0,80.746,4008.096,1840.703
1953,World,6650.861,2.519,2.640278784E9,0.0,89.546,4042.726,1956.172
1954,World,6789.498,2.522,2.691979264E9,0.0,97.134,4038.464,2069.125
1955,World,7443.861,2.711,2.746072064E9,0.0,107.436,4371.64,2313.649
1956,World,7925.98,2.83,2.801002752E9,0.0,116.488,4595.993,2510.938
1957,World,8185.614,2.864,2.857866752E9,0.0,122.452,4680.659,2622.477
1958,World,8417.16,2.886,2.916108032E9,0.0,129.694,4753.322,2726.862
1959,World,8854.662,2.981,2.970292224E9,0.0,145.245,4947.026,2903.993
1960,World,9386.421,3.109,3.019233536E9,1.324583747584E13,157.394,5151.948,3125.705
1961,World,9414.383,3.068,3.068370688E9,0.0,164.145,4939.333,3313.261
1962,World,9746.556,3.117,3.12668672E9,0.0,176.367,4924.526,3561.588
1963,World,10266.047,3.212,3.195779328E9,0.0,185.984,5104.291,3806.507
1964,World,10823.618,3.313,3.267212288E9,0.0,206.159,5209.606,4107.03
1965,World,11309.689,3.389,3.337112064E9,0.0,216.463,5285.71,4411.812
1966,World,11861.708,3.482,3.406416896E9,0.0,233.046,5346.64,4761.2
1967,World,12236.328,3.521,3.475448064E9,0.0,239.921,5259.163,5076.133
1968,World,12904.336,3.638,3.54681088E9,0.0,255.428,5317.465,5529.309
1969,World,13760.84,3.801,3.62065536E9,0.0,270.844,5516.122,5979.45
1970,World,14898.156,4.032,3.695390208E9,2.1814451372032E13,288.489,5696.572,6800.143
1971,World,15502.786,4.112,3.7701632E9,0.0,303.39,5698.278,7201.511
1972,World,16223.439,4.22,3.844800768E9,0.0,321.557,5689.858,7764.815
1973,World,17083.5,4.358,3.920251392E9,0.0,340.519,5861.542,8223.546
1974,World,17009.383,4.257,3.995516928E9,0.0,340.997,5860.022,8105.394
1975,World,17049.979,4.19,4.069437184E9,0.0,339.042,6034.681,8036.563
1976,World,17985.242,4.342,4.142505728E9,0.0,354.048,6260.035,8538.575
1977,World,18494.652,4.387,4.215772416E9,0.0,370.759,6412.418,8838.887
1978,World,19063.955,4.444,4.2896576E9,0.0,394.565,6521.472,9155.992
1979,World,19603.002,4.49,4.365582848E9,0.0,399.756,6828.325,9272.929
1980,World,19482.441,4.384,4.444007936E9,3.188097810432E13,402.517,7008.476,8948.316
1981,World,19016.949,4.203,4.524627456E9,0.0,402.62,6988.982,8546.783
1982,World,18865.373,4.094,4.60798464E9,0.0,400.75,7111.198,8341.168
1983,World,18985.9,4.047,4.691884032E9,0.0,409.611,7297.603,8256.587
1984,World,19641.729,4.113,4.77583616E9,0.0,417.356,7650.65,8323.763
1985,World,20305.131,4.177,4.861730816E9,0.0,422.453,8201.938,8322.069
1986,World,20607.514,4.163,4.950063104E9,0.0,440.079,8320.633,8571.332
1987,World,21245.783,4.215,5.040984576E9,0.0,458.905,8598.466,8643.077
1988,World,22077.385,4.302,5.132294144E9,0.0,483.217,8892.935,8960.305
1989,World,22378.969,4.284,5.223704064E9,0.0,493.095,8891.691,9116.432
1990,World,22752.701,4.28,5.316175872E9,4.3018245636096E13,493.627,8701.797,9245.104
1991,World,23229.475,4.297,5.406245888E9,0.0,507.475,8614.589,9708.479
1992,World,22567.199,4.109,5.492686336E9,0.0,528.555,8409.5,9211.256
1993,World,22798.35,4.088,5.5774336E9,0.0,551.282,8511.261,9218.413
1994,World,23034.775,4.069,5.660727808E9,0.0,588.426,8559.117,9254.096
1995,World,23524.49,4.096,5.743219712E9,0.0,622.288,8803.17,9338.96
1996,World,24250.16,4.163,5.825145344E9,0.0,635.111,9024.368,9621.537
1997,World,24395.951,4.13,5.906481152E9,0.0,660.845,8977.737,9767.216
1998,World,24330.945,4.064,5.98731264E9,0.0,658.349,8735.933,9893.816
1999,World,24833.494,4.093,6.067758592E9,0.0,690.512,8862.756,10135.524
2000,World,25501.287,4.147,6.148898816E9,5.9866659946496E13,721.429,9207.196,10278.069
2001,World,25674.93,4.121,6.230747136E9,0.0,753.945,9259.31,10356.23
2002,World,26248.289,4.158,6.312407552E9,0.0,781.887,9684.062,10336.713
2003,World,27648.648,4.324,6.393898496E9,0.0,860.009,10522.819,10617.428
2004,World,28620.193,4.42,6.475751424E9,0.0,898.576,10876.573,11010.535
2005,World,29592.104,4.512,6.558176256E9,0.0,963.94,11553.74,11109.204
2006,World,30605.766,4.608,6.641416192E9,0.0,1051.331,12199.223,11211.11
2007,World,31499.734,4.683,6.725948416E9,0.0,1129.162,12788.58,11248.81
2008,World,32041.902,4.704,6.811597312E9,0.0,1143.371,13203.81,11205.636
2009,World,31493.266,4.565,6.898306048E9,0.0,1175.419,13033.114,10961.71
2010,World,33306.328,4.768,6.985603072E9,8.9807296397312E13,1254.874,13940.769,11329.975
2011,World,34436.469,4.869,7.073125376E9,0.0,1349.177,14731.273,11348.474
2012,World,34935.453,4.878,7.161697792E9,0.0,1384.165,14896.542,11498.217
2013,World,35232.469,4.859,7.25059328E9,0.0,1442.902,14989.084,11584.061
2014,World,35466.195,4.833,7.339013632E9,0.0,1499.506,15006.086,11621.545
2015,World,35463.215,4.775,7.426597376E9,0.0,1444.446,14662.108,11885.381
2016,World,35460.027,4.72,7.513474048E9,1.07134276599808E14,1482.877,14325.484,12006.962
2017,World,36025.453,4.74,7.599822336E9,1.1043065561088E14,1504.53,14489.681,12219.619
2018,World,36766.945,4.785,7.683789824E9,1.13630171365376E14,1565.803,14725.245,12267.438
2019,World,37040.102,4.77,7.76495104E9,0.0,1615.776,14684.313,12377.949
2020,World,35007.738,4.465,7.840952832E9,0.0,1633.047,14225.915,10899.948
2021,World,36816.543,4.655,7.909295104E9,0.0,1692.404,14982.517,11514.74
2022,World,37149.785,4.658,7.975105024E9,0.0,1605.474,15219.304,11877.886
